participant_id	age	sex	group
sub-0200	n/a	female	n/a
sub-0201	59.0	female	n/a
sub-0202	77.0	male	n/a
sub-0203	n/a	female	n/a
sub-0204	n/a	female	n/a
sub-0205	59.0	female	n/a
sub-0206	n/a	female	n/a
sub-0207	11.0	female	n/a
sub-0208	16.0	female	n/a
sub-0209	10.0	female	n/a
sub-0210	58.0	male	n/a
sub-0211	n/a	female	n/a
sub-0212	39.0	female	n/a
sub-0213	n/a	female	n/a
sub-0214	76.0	female	n/a
sub-0215	33.0	female	n/a
sub-0216	29.0	female	n/a
sub-0217	41.0	female	n/a
sub-0218	22.0	male	n/a
sub-0219	55.0	female	n/a
sub-0220	31.0	female	n/a
sub-0221	17.0	female	n/a
sub-0222	62.0	female	n/a
sub-0223	69.0	female	n/a
sub-0224	n/a	male	n/a
sub-0225	63.0	female	n/a
sub-0226	29.0	male	n/a
sub-0227	22.0	female	n/a
sub-0228	70.0	female	n/a
sub-0229	n/a	female	n/a
sub-0230	65.0	female	n/a
sub-0231	56.0	female	n/a
sub-0232	33.0	female	n/a
sub-0233	59.0	female	n/a
sub-0234	45.0	male	n/a
sub-0235	10.0	female	n/a
sub-0236	51.0	female	n/a
sub-0237	43.0	female	n/a
sub-0238	34.0	male	n/a
sub-0239	38.0	female	n/a
sub-0240	23.0	female	n/a
sub-0241	68.0	female	n/a
sub-0242	n/a	female	n/a
sub-0243	n/a	female	n/a
sub-0244	n/a	male	n/a
sub-0245	n/a	female	n/a
sub-0246	n/a	female	n/a
sub-0247	71.0	male	n/a
sub-0248	31.0	female	n/a
sub-0249	n/a	female	n/a
sub-0250	36.0	female	n/a
sub-0251	71.0	female	n/a
sub-0252	n/a	male	n/a
sub-0253	32.0	female	n/a
sub-0254	33.0	female	n/a
sub-0255	29.0	female	n/a
sub-0256	n/a	female	n/a
sub-0257	13.0	male	n/a
sub-0258	47.0	male	n/a
sub-0259	n/a	female	n/a
sub-0260	n/a	female	n/a
sub-0261	16.0	female	n/a
sub-0262	n/a	female	n/a
sub-0263	13.0	female	n/a
sub-0264	43.0	female	n/a
sub-0265	62.0	female	n/a
sub-0266	86.0	female	n/a
sub-0267	n/a	female	n/a
sub-0268	n/a	female	n/a
sub-0269	85.0	female	n/a
sub-0270	14.0	female	n/a
sub-0271	56.0	female	n/a
sub-0272	15.0	female	n/a
sub-0273	n/a	female	n/a
sub-0274	53.0	female	n/a
sub-0275	37.0	female	n/a
sub-0276	n/a	female	n/a
sub-0277	24.0	female	n/a
sub-0278	28.0	female	n/a
sub-0279	27.0	female	n/a
sub-0280	11.0	female	n/a
sub-0281	n/a	female	n/a
sub-0282	20.0	female	n/a
sub-0283	n/a	male	n/a
sub-0284	63.0	female	n/a
sub-0285	12.0	male	n/a
sub-0286	70.0	female	n/a
sub-0287	46.0	female	n/a
sub-0288	n/a	female	n/a
sub-0289	50.0	female	n/a
sub-0290	30.0	female	n/a
sub-0291	35.0	male	n/a
sub-0292	15.0	female	n/a
sub-0293	n/a	female	n/a
sub-0294	61.0	female	n/a
sub-0295	n/a	female	n/a
sub-0296	n/a	female	n/a
sub-0297	n/a	female	n/a
sub-0298	71.0	female	n/a
sub-0299	n/a	female	n/a
sub-0300	58.0	female	n/a
sub-0301	n/a	male	n/a
sub-0302	17.0	female	n/a
sub-0303	39.0	female	n/a
sub-0304	35.0	female	n/a
sub-0305	n/a	male	n/a
sub-0306	29.0	male	n/a
